Veles: 


Name: Agronikolov
Number1: +38970377359
Number2: None
Number3: None
Address: 4 JULI BR.1
Town: Veles
Email: contact@agronikolov.mk
Web page: www.agronikolov.mk
Link: https://yellowpages.com.mk//firma/49143/AGRONIKOLOV
Catalog: None
Facebook: None
Instagram: None
Picture: None
Rating: 2.4


Name: Velvin
Number1: +38971503359
Number2: +38978446192
Number3: None
Address: V.Glavinov 87
Town: Veles
Email: skortov@velvin.mk
Web page: www.velvin.mk
Link: https://yellowpages.com.mk//firma/49305/VELVIN
Catalog: None
Facebook: None
Instagram: None
Picture: None
Rating: 4.2


Name: Izvorno
Number1: +38977901169
Number2: None
Number3: None
Address: None
Town: Veles
Email: zoki@izvorno.com.mk
Web page: www.izvorno.com.mk
Link: https://yellowpages.com.mk//firma/49705/IZVORNO
Catalog: None
Facebook: None
Instagram: None
Picture: None
Rating: 2.1


Name: Mm investment
Number1: 043/212620
Number2: None
Number3: 043/212622
Address: SKOPSKI PAT BB
Town: Veles
Email: info@mm-investment.com
Web page: www.mm-investment.com
Link: https://yellowpages.com.mk//firma/38654/MM_INVESTMENT
Catalog: None
Facebook: None
Instagram: None
Picture: None
Rating: 4.2


Kavadarci: 


Name: Vinarija eros
Number1: 043/415768
Number2: +38971375795
Number3: None
Address: S.MARENA
Town: Kavadarci
Email: eros_trade_as@yahoo.com
Web page: None
Link: https://yellowpages.com.mk//firma/34903/VINARIJA_EROS
Catalog: https://yellowpages.com.mk/katalog/index.html#p=174
Facebook: www.facebook.com/eroswinery/
Instagram: www.instagram.com/eroswinery/
Picture: https://yellowpages.com.mk/images/proba1/eroswinery-logo.png
Rating: 4.0


Name: Vinarija popov
Number1: 043/551000
Number2: +38970217202
Number3: 02/5511050
Address: GOTSE DELCHEV 13A-S.SOPOT
Town: Kavadarci
Email: popov@popovwinery.com.mk
Web page: www.popovwinery.com.mk
Link: https://yellowpages.com.mk//firma/21520/VINARIJA_POPOV
Catalog: https://yellowpages.com.mk/katalog/index.html#p=175
Facebook: www.facebook.com/popovwinery/
Instagram: None
Picture: https://yellowpages.com.mk/images/proba1/VIN ART-logo.png
Rating: 4.0


Name: Mg famili vineri
Number1: +38970253465
Number2: None
Number3: None
Address: Industrijska 2
Town: Kavadarci
Email: mgmitko@yahoo.com
Web page: None
Link: https://yellowpages.com.mk//firma/55660/MG_FAMILI_VINERI
Catalog: None
Facebook: www.facebook.com/profile.php?id=100077415804326
Instagram: www.instagram.com/mg_homewinery
Picture: None
Rating: 3.7


Name: Podrum paradjik semejna vinarija
Number1: +38978265591
Number2: None
Number3: None
Address: S.Vataša
Town: Kavadarci
Email: podrumparadzik@yahoo.com
Web page: None
Link: https://yellowpages.com.mk//firma/55680/PODRUM_PARADJIK_Semejna_Vinarija
Catalog: None
Facebook: www.facebook.com/PodrumParadzik
Instagram: www.instagram.com/podrum.paradzik/
